ID,Ejercicio,Ramo,Siniestro,Fecha de ocurrencia,Fecha de derivacion,Suma asegurada,Ajuste,Accesorios,Tope de suma asegurada,Agencia,Marca de la unidad,Modelo de la unidad,Modelo / Año,Indemnizacion,MT indem - MT aseg,Fecha de pago
3877,99,4,80912,9/14/2021,9/24/2021 12:00:00 a. m.,385000,20,0,462000,SAN MARTIN,FORD,FORD KA 1.3 NAFTA,1998,"398.000,00",13000,10/22/2021 12:00:00 a. m.
3878,99,4,80993,9/15/2021,9/28/2021 12:00:00 a. m.,1300000,20,0,1560000,BUENOS AIRES,CITROEN,CITROEN C 3 AIRCROSS 1.6 I SX,2012,"1.300.000,00",0,10/14/2021 12:00:00 a. m.
3879,99,4,81008,9/14/2021,9/25/2021 12:00:00 a. m.,1397000,20,0,1676400,QUILMES,RENAULT,RENAULT KANGOO 2 1.5 D EX. 1 PLC CON. L/14,2017,"1.517.900,00",120900,10/12/2021 12:00:00 a. m.
3880,99,4,81012,9/10/2021,9/16/2021 12:00:00 a. m.,1066000,10,0,1172600,BUENOS AIRES,RENAULT,RENAULT DUSTER 1.6 4X2 CONFORT PLUS,2012,"1.172.600,00",106600,10/27/2021 12:00:00 a. m.
3881,99,4,81017,9/11/2021,9/23/2021 12:00:00 a. m.,711700,20,60000,926040,MORON,CHEVROLET,CHEVROLET CLASSIC 1.4 4 PTAS. LT SPIRIT,2012,"860.000,00",148300,11/8/2021 12:00:00 a. m.
3882,99,4,81055,9/10/2021,9/27/2021 12:00:00 a. m.,433000,20,0,519600,EXT.CASA MATRIZ,RENAULT,RENAULT 12 TL,1994,"433.000,00",0,10/19/2021 12:00:00 a. m.
3883,99,4,81067,9/3/2021,9/17/2021 12:00:00 a. m.,297000,20,30000,392400,MENDOZA,FIAT,FIAT DUNA SDL 1.7,1995,"386.400,00",89400,10/6/2021 12:00:00 a. m.
3884,99,4,81270,9/13/2021,9/20/2021 12:00:00 a. m.,1215500,20,0,1458600,EXT.CASA MATRIZ,RENAULT,RENAULT DUSTER 1.6 4X2 CONFORT PLUS,2013,"1.350.000,00",134500,10/21/2021 12:00:00 a. m.
3885,99,4,81308,9/13/2021,10/1/2021 12:00:00 a. m.,1200000,20,75000,1530000,MORON,RENAULT,RENAULT LOGAN II 1.6 8V AUTHENTIQUE PLUS,2017,"1.275.000,00",75000,10/19/2021 12:00:00 a. m.
3886,99,4,81343,9/15/2021,10/28/2021 12:00:00 a. m.,759000,10,0,834900,NEUQUEN,FORD,FORD RANGER XL 2.5 C/D,2001,"834.900,00",75900,10/28/2021 12:00:00 a. m.
3887,99,4,81396,9/14/2021,9/21/2021 12:00:00 a. m.,294800,40,0,412720,MORON,VOLKSWAGEN,VW GOL GLD 1.6 5 PTAS.,1998,"294.000,00",-800,10/29/2021 12:00:00 a. m.
3888,99,4,81424,9/15/2021,9/17/2021 12:00:00 a. m.,445000,20,0,534000,MENDOZA,CHEVROLET,CHEVROLET CORSA GL 1.7 D 4P. A/A,1999,"430.000,00",-15000,11/11/2021 12:00:00 a. m.
3889,99,4,81498,9/9/2021,10/19/2021 12:00:00 a. m.,629200,20,50000,815040,AVELLANEDA,CHEVROLET,CHEVROLET CLASSIC 1.4 4 PTAS. LS AA,2012,"750.000,00",120800,11/8/2021 12:00:00 a. m.
3890,99,4,81559,9/12/2021,9/23/2021 12:00:00 a. m.,590000,10,71000,727100,MORON,SUZUKI,SUZUKI FUN 1.0,2004,"727.000,00",137000,10/28/2021 12:00:00 a. m.
3891,99,4,81623,9/14/2021,,465300,20,35000,600360,EXT.CASA MATRIZ,CHEVROLET,CHEVROLET CORSA 1.6 4 P. GLS L/08 (CLASSIC),2008,"600.360,00",135060,11/1/2021 12:00:00 a. m.
3892,99,4,81658,9/14/2021,9/21/2021 12:00:00 a. m.,1020000,20,20000,1248000,MARTINEZ,PEUGEOT,PEUGEOT 408 2.0 ALLURE,2013,"1.248.000,00",228000,10/22/2021 12:00:00 a. m.
3893,99,4,81693,9/13/2021,10/15/2021 12:00:00 a. m.,1325500,20,0,1590600,QUILMES,FORD,FORD FOCUS L/14 1.6 5 P S,2014,"1.500.000,00",174500,11/12/2021 12:00:00 a. m.
3894,99,4,81792,9/14/2021,9/21/2021 12:00:00 a. m.,572000,99,50000,622000,MORON,PEUGEOT,PEUGEOT 206 XE 1.4 3 PTAS.,2007,"622.000,00",50000,10/7/2021 12:00:00 a. m.
